x_positions,y_positions
1598,405
1593,399
1577,387
1609,423
1572,413
1549,385
1536,385
1537,415
1568,405
1559,380
1509,419
1532,381
1500,367
1508,380
1512,369
1501,370
1504,372
1499,370
1496,372
1490,375
1495,374
1494,375
1486,375
1491,378
1491,377
1492,381
1491,380
1490,384
1496,381
1497,382
1491,382
1490,385
1487,385
1498,380
1513,388
1519,390
1522,393
1513,392
1524,395
1523,398
1525,401
1516,401
1516,404
1524,407
1540,409
1570,416
1577,422
1577,422
1578,420
1587,416
1578,413
1575,406
1581,406
1587,405
1580,404
1580,398
1578,394
1574,392
1561,397
1557,398
1547,396
1531,391
1523,391
1514,387
1501,387
1482,388
1463,390
1471,395
1468,397
1463,402
1465,396
1463,397
1399,404
1401,407
1398,406
1387,410
1374,417
1365,412
1332,402
1331,400
1328,399
1323,405
1330,404
1334,413
1320,415
1320,417
1305,427
1303,424
1308,424
1301,438
1294,428
1312,429
1308,441
1311,446
1323,449
1312,450
1305,453
1311,448
1304,448
1295,444
1296,444
1301,451
1298,452
1308,462
1310,462
1319,462
1322,457
1294,457
1315,452
1289,424
1295,426
1286,430
1289,431
1279,433
1275,435
1282,436
1281,434
1296,433
1290,435
1298,437
1297,435
1291,425
1289,429
1282,426
1304,461
1297,458
1301,469
1298,470
1295,473
1296,478
1294,477
1296,437
1302,429
1281,423
1272,416
1286,448
1293,463
1291,450
1300,446
1292,437
1286,435
1299,446
1297,429
1289,427
1252,430
1242,426
1238,425
1209,436
1178,443
1180,444
1185,449
1183,458
1187,460
1164,444
1189,450
1183,457
1196,454
1191,455
1197,452
1205,453
1205,458
1199,461
1197,458
1198,462
1199,466
1191,473
1188,474
1186,480
1187,485
1188,493
1200,443
1191,477
1188,485
1191,485
1209,493
1189,493
1188,500
1192,503
1189,503
1183,502
1184,504
1183,501
1176,496
1171,494
1168,491
1167,493
1166,493
1174,496
1173,500
1172,501
1170,498
1167,497
1203,482
1197,489
1195,493
1189,499
1188,501
1182,503
1184,504
1185,506
1189,510
1184,511
1184,514
1183,517
1177,526
1174,533
1206,481
1195,482
1182,508
1202,533
1181,536
1176,542
1176,545
1179,547
1206,536
1184,540
1182,549
1202,540
1174,539
1194,534
1182,557
1177,555
1224,545
1216,543
1217,575
1199,564
1170,567
1168,565
1172,566
1149,560
1147,539
1160,541
1147,544
1137,549
1132,550
1122,548
1120,550
1110,544
1113,541
1152,535
1148,533
1138,512
1134,514
1137,518
1133,517
1136,518
1132,516
1132,519
1135,517
1129,505
1121,501
1115,499
1120,505
1107,503
1090,507
1114,499
1097,498
1110,490
1099,480
1094,476
1090,487
1094,487
1089,477
1068,463
1063,445
1054,447
1058,433
1035,437
1038,438
1038,429
1038,423
1033,425
1036,422
1038,425
1037,429
1035,428
1033,434
1027,436
1028,436
1026,443
1021,446
1022,455
1020,458
1016,465
1018,466
1015,469
1007,473
1011,475
1007,478
1010,478
1005,479
1009,480
1001,482
993,481
991,483
995,481
995,480
993,476
978,476
977,475
978,474
977,473
962,472
962,479
960,466
959,470
958,466
952,461
945,458
939,450
934,444
927,447
924,447
927,446
924,440
917,441
919,445
925,446
920,441
922,444
925,445
924,447
918,447
920,444
907,448
901,445
902,448
895,447
896,448
908,450
909,447
911,453
906,451
905,444
906,445
906,444
903,446
900,443
901,439
905,443
892,444
893,445
901,445
881,452
890,454
873,459
879,463
869,470
873,480
877,481
870,488
864,487
872,495
877,492
884,501
883,504
890,508
888,510
895,509
894,508
889,505
881,505
886,513
885,510
894,512
896,510
894,506
879,500
885,498
888,489
886,485
889,478
894,478
882,479
890,479
887,476
883,480
894,474
878,470
880,471
877,465
871,456
865,450
870,439
876,433
871,428
865,432
860,437
865,437
857,434
856,435
