x_positions,y_positions
1063,282
1051,268
1056,274
1057,274
1055,276
1052,275
1051,275
1050,277
1041,278
1040,278
1038,279
998,250
994,250
992,254
984,252
972,252
964,250
947,252
943,251
937,251
923,249
934,257
945,262
957,268
963,273
965,277
917,256
919,256
925,266
939,274
948,279
951,285
954,289
960,296
961,300
960,303
953,307
955,310
957,314
912,238
902,290
948,312
952,314
942,307
928,299
909,291
909,289
885,284
877,280
891,281
871,277
862,272
843,267
842,268
839,265
832,257
841,257
824,252
820,247
821,246
830,243
830,244
828,245
825,246
836,253
821,251
821,249
836,253
849,256
852,259
818,251
799,249
796,252
788,254
784,256
777,259
783,274
794,282
777,239
777,244
777,247
777,250
777,259
767,289
774,296
785,298
794,304
800,308
776,296
776,295
763,291
762,291
776,296
787,301
794,304
797,306
802,307
767,286
741,284
736,282
732,283
736,285
732,288
744,294
756,304
763,311
759,318
732,303
734,306
733,305
728,304
733,313
743,316
758,318
732,305
732,305
743,312
723,301
732,305
750,305
761,306
724,293
715,290
705,287
704,288
706,288
715,294
727,296
742,299
753,299
762,301
767,302
701,270
699,265
676,258
684,255
698,255
700,257
683,252
656,242
639,237
613,236
610,241
612,244
613,247
618,250
619,252
625,254
621,253
624,253
626,254
622,253
639,257
639,256
639,258
636,259
642,265
646,270
626,266
627,269
626,273
624,275
625,280
631,256
630,256
630,261
622,304
647,323
651,323
648,324
652,323
644,323
649,323
650,320
647,319
638,314
635,313
646,312
643,314
629,302
626,296
625,295
635,298
649,301
624,295
624,292
634,296
647,300
648,304
651,306
649,311
656,314
658,315
662,319
614,306
612,307
609,309
611,311
612,317
604,297
605,297
605,299
611,339
614,352
625,360
629,360
624,368
621,357
623,363
616,373
616,366
609,371
612,373
603,375
602,376
603,380
613,384
614,384
608,387
596,379
587,374
583,372
578,370
571,369
574,362
573,360
580,357
594,356
579,351
576,352
587,346
581,341
577,332
564,332
564,338
590,338
597,339
551,320
549,312
540,308
552,308
559,311
546,303
547,301
540,297
536,293
523,290
524,287
526,287
515,285
516,281
517,280
511,274
514,272
527,269
528,269
531,264
482,250
476,242
471,240
470,239
469,239
469,237
471,234
469,232
470,232
474,232
474,232
466,234
475,235
482,237
476,234
476,237
472,238
467,241
466,249
467,255
452,253
478,268
482,273
483,275
485,278
491,280
468,271
461,270
458,273
458,279
460,284
466,287
469,290
446,274
452,272
444,269
443,269
444,269
436,268
432,265
417,263
414,262
412,259
413,259
406,259
410,254
406,250
402,247
398,247
386,243
360,203
360,203
374,247
379,248
382,247
381,244
365,240
361,241
360,241
360,240
360,243
347,241
343,240
347,243
350,246
349,244
354,246
347,245
343,245
349,247
351,247
360,246
347,241
350,238
354,241
346,242
349,244
355,245
361,247
353,248
350,250
347,251
346,252
342,255
339,261
337,265
325,259
338,261
325,274
338,269
327,271
341,275
333,289
331,296
334,298
347,253
351,257
357,266
334,296
344,305
350,303
348,306
344,301
344,301
345,298
348,299
362,298
364,298
377,304
373,301
363,290
355,281
362,283
349,278
346,276
339,277
339,273
342,269
366,277
374,274
381,280
376,273
367,259
311,234
302,235
305,238
305,231
329,239
344,245
311,231
